"LBDF06LC.Code.or.Value","LBDF06LC.Value.Description","LBDF06LC.Count","LBDF06LC.Cumulative","LBDF06LC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",245,246,NA
".","Missing",1,247,NA
