"AUXLR204.Code.or.Value","AUXLR204.Value.Description","AUXLR204.Count","AUXLR204.Cumulative","AUXLR204.Skip.to.Item"
"-48 to 48","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
