"AUXRR243.Code.or.Value","AUXRR243.Value.Description","AUXRR243.Count","AUXRR243.Cumulative","AUXRR243.Skip.to.Item"
"-56 to 59","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
