"AUDTYL35.Code.or.Value","AUDTYL35.Value.Description","AUDTYL35.Count","AUDTYL35.Cumulative","AUDTYL35.Skip.to.Item"
"0 to 3.94","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
