"DXDLATOT.Code.or.Value","DXDLATOT.Value.Description","DXDLATOT.Count","DXDLATOT.Cumulative","DXDLATOT.Skip.to.Item"
"925.3 to 13308.5","Range of Values",4955,4955,NA
".","Missing",825,5780,NA
