"BIXC043K.Code.or.Value","BIXC043K.Value.Description","BIXC043K.Count","BIXC043K.Cumulative","BIXC043K.Skip.to.Item"
"30.76 to 206.63","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
