"DR1TS100.Code.or.Value","DR1TS100.Value.Description","DR1TS100.Count","DR1TS100.Cumulative","DR1TS100.Skip.to.Item"
"0 to 9.246","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
