"MCQ240Y.Code.or.Value","MCQ240Y.Value.Description","MCQ240Y.Count","MCQ240Y.Cumulative","MCQ240Y.Skip.to.Item"
"80","80 years or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",0,0,NA
".","Missing",10109,10109,NA
