"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",381,381,""
"2","No",4100,4481,"DRD350G"
".","Missing",5772,10253,""
