"DR1TVK.Code.or.Value","DR1TVK.Value.Description","DR1TVK.Count","DR1TVK.Cumulative","DR1TVK.Skip.to.Item"
"0 to 3678.2","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
