"RFXC045.Code.or.Value","RFXC045.Value.Description","RFXC045.Count","RFXC045.Cumulative","RFXC045.Skip.to.Item"
"-7.069 to 3.892","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
