"HCQ200.Code.or.Value","HCQ200.Value.Description","HCQ200.Count","HCQ200.Cumulative","HCQ200.Skip.to.Item"
"1","True",1,1,NA
"2","False",33,34,NA
"7","Refused",0,34,NA
"9","Don't know",1,35,NA
".","Missing",72,107,NA
