"URDHP2LC.Code.or.Value","URDHP2LC.Value.Description","URDHP2LC.Count","URDHP2LC.Cumulative","URDHP2LC.Skip.to.Item"
"0","At or above the detection limit",2339,2339,NA
"1","Below lower detection limit",128,2467,NA
".","Missing",138,2605,NA
