"URDUP8LC.Code.or.Value","URDUP8LC.Value.Description","URDUP8LC.Count","URDUP8LC.Cumulative","URDUP8LC.Skip.to.Item"
"0","At or above the detection limit",7697,7697,NA
"1","Below lower detection limit",0,7697,NA
".","Missing",389,8086,NA
