"DBQ071C.Code.or.Value","DBQ071C.Value.Description","DBQ071C.Count","DBQ071C.Cumulative","DBQ071C.Skip.to.Item"
"12","1% fat milk,",14,14,NA
".","Missing",10108,10122,NA
