"AUDTYL78.Code.or.Value","AUDTYL78.Value.Description","AUDTYL78.Count","AUDTYL78.Cumulative","AUDTYL78.Skip.to.Item"
"0 to 0.56","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
