"URDBMALC.Code.or.Value","URDBMALC.Value.Description","URDBMALC.Count","URDBMALC.Cumulative","URDBMALC.Skip.to.Item"
"0","At or above the detection limit",3003,3003,NA
"1","Below lower detection limit",11,3014,NA
".","Missing",265,3279,NA
