"DR2TMOIS.Code.or.Value","DR2TMOIS.Value.Description","DR2TMOIS.Count","DR2TMOIS.Cumulative","DR2TMOIS.Skip.to.Item"
"57.3 to 12901.52","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
