"CVDEXSTS.Code.or.Value","CVDEXSTS.Value.Description","CVDEXSTS.Count","CVDEXSTS.Cumulative","CVDEXSTS.Skip.to.Item"
"1","VO2max estimated",2954,2954,NA
"2","Tested but VO2max estimate missing",510,3464,NA
"3","Not done",1688,5152,NA
".","Missing",0,5152,NA
