"OSQ150.Code.or.Value","OSQ150.Value.Description","OSQ150.Count","OSQ150.Cumulative","OSQ150.Skip.to.Item"
"1","Yes",525,525,""
"2","No",5408,5933,"OSQ170"
"7","Refused",2,5935,"OSQ170"
"9","Don't know",283,6218,"OSQ170"
".","Missing",0,6218,""
