"SDDSRVYR.Code.or.Value","SDDSRVYR.Value.Description","SDDSRVYR.Count","SDDSRVYR.Cumulative","SDDSRVYR.Skip.to.Item"
"2","NHANES 2001-2002 Public Release",11039,11039,NA
".","Missing",0,11039,NA
