"OHD11LAM.Code.or.Value","OHD11LAM.Value.Description","OHD11LAM.Count","OHD11LAM.Cumulative","OHD11LAM.Skip.to.Item"
"0 to 15","Range of Values",1597,1597,NA
"99","Calculation cannot be determined",217,1814,NA
".","Missing",4944,6758,NA
