"LBXV2T.Code.or.Value","LBXV2T.Value.Description","LBXV2T.Count","LBXV2T.Cumulative","LBXV2T.Skip.to.Item"
"0.0071 to 0.079","Range of Values",3193,3193,NA
".","Missing",352,3545,NA
