"FSD680.Code.or.Value","FSD680.Value.Description","FSD680.Count","FSD680.Cumulative","FSD680.Skip.to.Item"
"1","Yes",546,546,NA
"2","No",145,691,NA
"7","Refused",0,691,NA
"9","Don't know",6,697,NA
".","Missing",9274,9971,NA
