"AUQ211.Code.or.Value","AUQ211.Value.Description","AUQ211.Count","AUQ211.Cumulative","AUQ211.Skip.to.Item"
"1","Yes",192,192,NA
"2","No",1046,1238,NA
"7","Refused",0,1238,NA
"9","Don't know",0,1238,NA
".","Missing",8428,9666,NA
