"URXOP2.Code.or.Value","URXOP2.Value.Description","URXOP2.Count","URXOP2.Cumulative","URXOP2.Skip.to.Item"
"0.07 to 203","Range of Values",3023,3023,NA
".","Missing",182,3205,NA
