"WBXF085.Code.or.Value","WBXF085.Value.Description","WBXF085.Count","WBXF085.Cumulative","WBXF085.Skip.to.Item"
"4237.8524 to 4237.8524","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
