"DXXPT48X.Code.or.Value","DXXPT48X.Value.Description","DXXPT48X.Count","DXXPT48X.Cumulative","DXXPT48X.Skip.to.Item"
"466.9 to 1053.5","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
