"VIXKLD1.Code.or.Value","VIXKLD1.Value.Description","VIXKLD1.Count","VIXKLD1.Cumulative","VIXKLD1.Skip.to.Item"
"34.75 to 53","Range of Values",6460,6460,NA
"88","Could not obtain",67,6527,NA
".","Missing",453,6980,NA
