"DR2TS180.Code.or.Value","DR2TS180.Value.Description","DR2TS180.Count","DR2TS180.Cumulative","DR2TS180.Skip.to.Item"
"0 to 40.746","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
