"URXOXS.Code.or.Value","URXOXS.Value.Description","URXOXS.Count","URXOXS.Cumulative","URXOXS.Skip.to.Item"
"0.042 to 0.1","Range of Values",2355,2355,NA
".","Missing",257,2612,NA
