"BMISUB.Code.or.Value","BMISUB.Value.Description","BMISUB.Count","BMISUB.Cumulative","BMISUB.Skip.to.Item"
"1","Could not obtain",1232,1232,NA
"2","Exceeds capacity",140,1372,NA
"3","Hard to obtain",0,1372,NA
".","Missing",8390,9762,NA
