"LB2INSI.Code.or.Value","LB2INSI.Value.Description","LB2INSI.Count","LB2INSI.Cumulative","LB2INSI.Skip.to.Item"
"18.48 to 925.8","Range of Values",205,205,NA
".","Missing",352,557,NA
