"RFXC123.Code.or.Value","RFXC123.Value.Description","RFXC123.Count","RFXC123.Cumulative","RFXC123.Skip.to.Item"
"-4.394 to 6.325","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
