"ARQ021BA.Code.or.Value","ARQ021BA.Value.Description","ARQ021BA.Count","ARQ021BA.Cumulative","ARQ021BA.Skip.to.Item"
"2","aching,",290,290,NA
".","Missing",4816,5106,NA
