"LBXPFUA.Code.or.Value","LBXPFUA.Value.Description","LBXPFUA.Count","LBXPFUA.Cumulative","LBXPFUA.Skip.to.Item"
"0.14 to 10.3","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
