"ARQ112A.Code.or.Value","ARQ112A.Value.Description","ARQ112A.Count","ARQ112A.Cumulative","ARQ112A.Skip.to.Item"
"1","LOCATION A",549,549,""
"7","Refused",0,549,"ARD125a"
"9","Don't know",0,549,"ARD125a"
".","Missing",4557,5106,""
