"CIQP40.Code.or.Value","CIQP40.Value.Description","CIQP40.Count","CIQP40.Cumulative","CIQP40.Skip.to.Item"
"0 to 40","Range of Values",27,27,NA
"900","900 +",0,27,NA
"7777","Refused",0,27,NA
"9999","Don't know",0,27,NA
".","Missing",751,778,NA
