"SSBDCPP.Code.or.Value","SSBDCPP.Value.Description","SSBDCPP.Count","SSBDCPP.Cumulative","SSBDCPP.Skip.to.Item"
"0.08 to 169","Range of Values",2299,2299,NA
".","Missing",18,2317,NA
