"DXXPT62X.Code.or.Value","DXXPT62X.Value.Description","DXXPT62X.Count","DXXPT62X.Cumulative","DXXPT62X.Skip.to.Item"
"303.8 to 949.2","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
