"WBXA096.Code.or.Value","WBXA096.Value.Description","WBXA096.Count","WBXA096.Cumulative","WBXA096.Skip.to.Item"
"-26.318 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
