"DBD895.Code.or.Value","DBD895.Value.Description","DBD895.Count","DBD895.Cumulative","DBD895.Skip.to.Item"
"1 to 21","Range of Values",6813,6813,""
"0","None",2002,8815,"DBD905"
"5555","More than 21 meals per week",5,8820,""
"7777","Refused",1,8821,"DBD905"
"9999","Dont Know",17,8838,"DBD905"
".","Missing",416,9254,""
