"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.05 to 44","Range of Values",8296,8296,NA
"777777","Refused",0,8296,NA
"999999","Don't know",2,8298,NA
".","Missing",118,8416,NA
