"URXDHB.Code.or.Value","URXDHB.Value.Description","URXDHB.Count","URXDHB.Cumulative","URXDHB.Skip.to.Item"
"3.71 to 3280","Range of Values",2639,2639,NA
".","Missing",116,2755,NA
