"URD2MHLC.Code.or.Value","URD2MHLC.Value.Description","URD2MHLC.Count","URD2MHLC.Cumulative","URD2MHLC.Skip.to.Item"
"0","At or above the detection limit",2727,2727,NA
"1","Below lower detection limit",288,3015,NA
".","Missing",264,3279,NA
