"URXUUR.Code.or.Value","URXUUR.Value.Description","URXUUR.Count","URXUUR.Cumulative","URXUUR.Skip.to.Item"
"0.0023 to 2.105","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
