"DRD370L.Code.or.Value","DRD370L.Value.Description","DRD370L.Count","DRD370L.Cumulative","DRD370L.Skip.to.Item"
"1","Yes",30,30,""
"2","No",4852,4882,"DRD370M"
".","Missing",4662,9544,""
