"URDMX1LC.Code.or.Value","URDMX1LC.Value.Description","URDMX1LC.Count","URDMX1LC.Cumulative","URDMX1LC.Skip.to.Item"
"0","At or above detection limit",2620,2620,NA
"1","Below lower detection limit",1,2621,NA
".","Missing",138,2759,NA
