"LBD110LC.Code.or.Value","LBD110LC.Value.Description","LBD110LC.Count","LBD110LC.Cumulative","LBD110LC.Skip.to.Item"
"0","detectable result",25,25,NA
"1","below detectable limit",2273,2298,NA
".","Missing",249,2547,NA
