"TYXP089.Code.or.Value","TYXP089.Value.Description","TYXP089.Count","TYXP089.Cumulative","TYXP089.Skip.to.Item"
"-292 to 133","Range of Values",5574,5574,NA
".","Missing",11,5585,NA
