"URDTIME3.Code.or.Value","URDTIME3.Value.Description","URDTIME3.Count","URDTIME3.Cumulative","URDTIME3.Skip.to.Item"
"31 to 148","Range of Values",33,33,NA
".","Missing",7903,7936,NA
