"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"5 to 546","Range of Values",2680,2680,NA
".","Missing",75,2755,NA
