"OSQ040ba.Code.or.Value","OSQ040ba.Value.Description","OSQ040ba.Count","OSQ040ba.Cumulative","OSQ040ba.Skip.to.Item"
"1","Under 50 years old, or",400,400,"OSQ025"
"2","50 years old or older?",105,505,""
"7","Refused",0,505,"OSQ025"
"9","Don't know",1,506,"OSQ025"
".","Missing",5712,6218,""
