"DXXIAX.Code.or.Value","DXXIAX.Value.Description","DXXIAX.Count","DXXIAX.Cumulative","DXXIAX.Skip.to.Item"
"487.6 to 1071.4","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
