"RFXC053.Code.or.Value","RFXC053.Value.Description","RFXC053.Count","RFXC053.Cumulative","RFXC053.Skip.to.Item"
"-8.174 to 5.268","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
