"RFXT108.Code.or.Value","RFXT108.Value.Description","RFXT108.Count","RFXT108.Cumulative","RFXT108.Skip.to.Item"
"937 to 946","Range of Values",51059,51059,NA
".","Missing",17,51076,NA
