"LBD187LC.Code.or.Value","LBD187LC.Value.Description","LBD187LC.Count","LBD187LC.Cumulative","LBD187LC.Skip.to.Item"
"0","At or above the detection limit",283,283,NA
"1","Below lower detection limit",3,286,NA
".","Missing",15,301,NA
