"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"14988.396826 to 482310.7883","Range of Values",2727,2727,NA
"0","No Lab Result",50,2777,NA
".","Missing",0,2777,NA
