"LBXF10.Code.or.Value","LBXF10.Value.Description","LBXF10.Count","LBXF10.Cumulative","LBXF10.Skip.to.Item"
"5.52 to 1949","Range of Values",1849,1849,NA
".","Missing",436,2285,NA
