"DSQIPOTA.Code.or.Value","DSQIPOTA.Value.Description","DSQIPOTA.Count","DSQIPOTA.Cumulative","DSQIPOTA.Skip.to.Item"
"0.01 to 6750","Range of Values",940,940,NA
".","Missing",9044,9984,NA
