"WBXA023.Code.or.Value","WBXA023.Value.Description","WBXA023.Count","WBXA023.Cumulative","WBXA023.Skip.to.Item"
"-15.8088 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
