"DXXPT82Y.Code.or.Value","DXXPT82Y.Value.Description","DXXPT82Y.Count","DXXPT82Y.Cumulative","DXXPT82Y.Skip.to.Item"
"100.3 to 335.6","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
