"CIQP52.Code.or.Value","CIQP52.Value.Description","CIQP52.Count","CIQP52.Cumulative","CIQP52.Skip.to.Item"
"0 to 22","Range of Values",21,21,NA
"77","Refused",0,21,NA
"99","Don't know",0,21,NA
".","Missing",907,928,NA
