"DS1ICARB.Code.or.Value","DS1ICARB.Value.Description","DS1ICARB.Count","DS1ICARB.Cumulative","DS1ICARB.Skip.to.Item"
"0.06 to 42","Range of Values",915,915,NA
".","Missing",4455,5370,NA
